回合,回合結束次數累積
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,4
36,1
37,4
38,9
39,18
40,35
41,76
42,114
43,204
44,313
45,444
46,666
47,904
48,1219
49,1386
50,1630
51,1941
52,2197
53,2439
54,2633
55,2624
56,2788
57,3020
58,2960
59,3089
60,2999
61,3021
62,2856
63,2853
64,2767
65,2675
66,2670
67,2517
68,2451
69,2368
70,2192
71,2091
72,1925
73,2039
74,1824
75,1781
76,1727
77,1567
78,1476
79,1419
80,1332
81,1253
82,1193
83,1078
84,1067
85,995
86,959
87,859
88,795
89,756
90,691
91,685
92,680
93,636
94,545
95,540
96,539
97,487
98,463
99,416
100,421
101,403
102,377
103,345
104,289
105,300
106,303
107,264
108,258
109,265
110,254
111,212
112,246
113,203
114,218
115,163
116,189
117,153
118,158
119,135
120,149
121,120
122,135
123,113
124,121
125,108
126,100
127,80
128,83
129,91
130,74
131,65
132,74
133,65
134,78
135,59
136,57
137,43
138,46
139,56
140,60
141,54
142,32
143,55
144,39
145,57
146,37
147,29
148,32
149,45
150,30
151,29
152,30
153,35
154,34
155,19
156,21
157,29
158,20
159,21
160,19
161,17
162,12
163,24
164,20
165,14
166,14
167,16
168,9
169,18
170,20
171,10
172,17
173,15
174,15
175,14
176,8
177,10
178,8
179,5
180,10
181,7
182,10
183,7
184,7
185,9
186,6
187,5
188,5
189,5
190,7
191,4
192,3
193,8
194,7
195,4
196,1
197,7
198,2
199,3
200,4
201,3
202,3
203,6
204,4
205,3
206,5
207,2
208,7
209,3
210,3
211,1
212,3
213,1
214,3
215,2
216,2
217,2
218,2
219,3
220,2
221,1
222,1
223,0
224,1
225,2
226,0
227,1
228,2
229,0
230,1
231,1
232,0
233,0
234,0
235,1
236,2
237,2
238,2
239,2
240,0
241,1
242,2
243,1
244,1
245,0
246,2
247,1
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,0
258,1
259,0
260,2
261,1
262,2
263,0
264,0
265,1
266,1
267,0
268,0
269,1
270,1
271,1
272,1
273,0
274,1
275,1
276,0
277,1
278,1
279,1
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,1
294,1
295,0
296,0
297,0
298,0
299,0
300,0
301,1
302,0
303,0
304,1
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,0
416,0
417,0
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
